,Plant,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,System_Initialize,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,Lunch_Break,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,Date
507,Uku,36,36,0,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2020 - 07 - 8.
531,Uku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,7/22/2020
663,Uku,36,23.33,20,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,7/11/2020
688,Uku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,0,0,0,0,7/12/2020
761,Uku,36,35.665,35.665,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,7/17/2020
927,Uku,28.33,20,20,20,20,0,0,0,0,20,24.5,24.5,24.5,31.192,22.308,20,20,20,36,36,36,36,36,36,36,36,36,36,36,36,36,34.778,34.778,34.778,34.778,34.778,34.778,36,36,36,36,36,36,36,36,0,0,0,7/20/2020
938,Uku,25.575,25.575,20.85,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,2020 - 07 - 7.
941,Uku,36,36,35.33,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,7/13/2020
977,Uku,36,36,35.33,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,7/14/2020
990,Uku,36,23.33,20,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,7/18/2020
