,Plant,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Date
40,VPOWER Hamb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 24
41,VPOWER Horona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34106,0.06106,9.3955,9.3955,19.396,0.0,9.0,24.0,7.9752,7.9752,7.9752,7.9752,7.9752,7.9752,7.9752,7.9752,24.0,24.0,20.185,24.0,24.0,23.717,23.717,23.717,23.717,23.717,23.717,23.717,23.717,24.0,24.0,8.5617,8.5617,8.5617,8.5617,8.5617,8.5617,0.0,0.0,2020 - 07 - 24
0,WPS,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.657,21.657,21.657,21.657,18.157,18.157,18.157,26.157,26.157,26.157,26.157,26.157,26.157,26.157,26.157,26.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.345,15.345,15.345,15.345,15.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 25
1,Canyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,11.03,11.03,30.0,30.0,30.0,30.0,30.0,30.0,24.037,24.037,24.037,24.037,24.037,24.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,11.03,0.0,11.03,11.03,25.247,0.0,11.03,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 25
2,Olax,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.537,50.537,54.0,54.0,54.0,54.0,22.546,22.546,22.546,22.546,26.546,26.546,26.546,26.546,26.546,26.546,26.546,26.546,26.546,26.546,36.546,36.546,36.546,36.546,36.546,36.546,54.0,54.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2020 - 07 - 25
3,Nlax,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,55.359,55.359,55.359,55.359,55.359,55.359,55.359,55.359,50.599,46.599,46.599,46.599,46.599,36.355,36.355,36.355,36.355,36.355,36.355,55.955,81.549,81.549,81.549,99.107,95.349,95.349,95.349,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,19.821,2020 - 07 - 25
4,Polp,43.104,6.1039,6.1039,6.1039,6.1039,6.1039,6.1039,6.1039,12.093,12.093,51.295,51.295,61.364,61.364,62.364,62.364,62.364,62.364,62.364,62.364,62.364,62.364,62.364,26.401,26.401,14.213,24.863,28.663,28.663,28.663,28.663,28.663,28.663,28.663,78.479,78.479,78.479,78.479,78.479,78.479,78.479,19.653,19.653,6.1039,6.1039,6.1039,53.765,16.963,2020 - 07 - 25
5,Upper Kothmale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.394,52.027,52.027,52.027,52.027,52.027,52.027,52.027,52.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.394,71.556,71.556,71.556,43.394,43.394,43.394,43.394,0.0,0.0,0.0,0.0,43.394,43.394,2020 - 07 - 25
6,Koth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.758,93.758,115.83,115.83,115.83,114.07,114.42,114.62,114.92,114.92,114.17,114.57,115.82,115.83,115.83,115.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 25
7,Vict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.658,142.1,142.1,142.1,142.1,142.1,132.01,71.006,20.815,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 25
